,Airline,AirlineID,SourceAirport,SourceAirportID,DestAirport,DestAirportID,Codeshare,Stops,Equipment,SourceCountry,DestCountry,MeanPeriod
85,2J,470,BKO,1044,DKR,1084,,0,M87,Mali,Senegal,10
91,2J,470,DKR,1084,BKO,1044,,0,M87,Senegal,Mali,10
293,3G,595,DKR,1084,FNA,1059,,0,319,Senegal,Sierra Leone,10
294,3G,595,DKR,1084,LOS,273,,0,319,Senegal,Nigeria,10
299,3G,595,FNA,1059,DKR,1084,,0,319,Sierra Leone,Senegal,10
301,3G,595,FNA,1059,ROB,1063,,0,319,Sierra Leone,Liberia,10
304,3G,595,LOS,273,DKR,1084,,0,319,Nigeria,Senegal,10
306,3G,595,LOS,273,ROB,1063,,0,319,Nigeria,Liberia,10
310,3G,595,ROB,1063,FNA,1059,,0,319,Liberia,Sierra Leone,10
311,3G,595,ROB,1063,LOS,273,,0,319,Liberia,Nigeria,10
9917,AF,137,ROB,1063,FNA,1059,,0,332,Liberia,Sierra Leone,10
12176,AT,4248,FNA,1059,ROB,1063,,0,73G,Sierra Leone,Liberia,10
12261,AT,4248,ROB,1063,FNA,1059,,0,738 73G,Liberia,Sierra Leone,10
14519,BA,1355,FNA,1059,ROB,1063,,0,767,Sierra Leone,Liberia,10
14889,BA,1355,ROB,1063,FNA,1059,,0,767,Liberia,Sierra Leone,10
19998,DH,10128,BKO,1044,LOS,273,,0,AT7,Mali,Nigeria,10
20006,DH,10128,LOS,273,BKO,1044,,0,AT7,Nigeria,Mali,10
21993,DN,17094,BKO,1044,DKR,1084,,0,320,Mali,Senegal,10
22004,DN,17094,DKR,1084,BKO,1044,,0,320,Senegal,Mali,10
22774,E2,3098,DKR,1084,FNA,1059,,0,M82,Senegal,Sierra Leone,10
22777,E2,3098,FNA,1059,DKR,1084,,0,M82,Sierra Leone,Senegal,10
22778,E2,3098,FNA,1059,ROB,1063,,0,M82,Sierra Leone,Liberia,10
22780,E2,3098,ROB,1063,FNA,1059,,0,M82,Liberia,Sierra Leone,10
23713,ET,2220,BKO,1044,DKR,1084,,0,763,Mali,Senegal,10
23751,ET,2220,DKR,1084,BKO,1044,,0,763,Senegal,Mali,10
23772,ET,2220,FNA,1059,MLW,1062,Y,0,DH8,Sierra Leone,Liberia,10
23886,ET,2220,MLW,1062,FNA,1059,Y,0,DH8,Liberia,Sierra Leone,10
36879,KL,3090,ROB,1063,FNA,1059,Y,0,330 332,Liberia,Sierra Leone,10
37186,KQ,3126,BKO,1044,DKR,1084,,0,73W,Mali,Senegal,10
37201,KQ,3126,DKR,1084,BKO,1044,,0,73W,Senegal,Mali,10
38208,LH,3320,FNA,1059,ROB,1063,Y,0,333,Sierra Leone,Liberia,10
48769,SA,4305,BKO,1044,DKR,1084,Y,0,757,Mali,Senegal,10
48792,SA,4305,DKR,1084,BKO,1044,Y,0,763,Senegal,Mali,10
50323,SN,1531,FNA,1059,ROB,1063,,0,333,Sierra Leone,Liberia,10
56460,UA,5209,FNA,1059,ROB,1063,Y,0,333,Sierra Leone,Liberia,10
62533,W3,407,FNA,1059,LOS,273,,0,73G,Sierra Leone,Nigeria,10
62552,W3,407,LOS,273,FNA,1059,,0,73G,Nigeria,Sierra Leone,10
